Date of bloom,Years,bloom_doy,Latitude ,Longitude ,Altitude,Avg Humidity on BD,Jan temp,Feb temp,March temp,April temp,Avg Temp on BD,Precp. Winter,Precp. Spring
"Friday, March 25, 1938",1938,84,39,–77.0386,0,53,2,5,10,14,9,6,7
"Thursday, March 30, 1939",1939,89,39,–77.0386,0,88,3,6,8,12,9,12,7
"Saturday, April 13, 1940",1940,104,39,–77.0386,0,55,-4,3,5,10,2,7,13
"Saturday, April 12, 1941",1941,102,39,–77.0386,0,61,2,1,4,16,15,6,7
"Sunday, April 5, 1942",1942,95,39,–77.0386,0,58,2,1,9,15,17,8,10
"Sunday, April 4, 1943",1943,94,39,–77.0386,0,34,2,4,7,11,5,9,12
"Sunday, April 9, 1944",1944,100,39,–77.0386,0,57,3,3,6,12,20,7,10
"Tuesday, March 20, 1945",1945,79,39,–77.0386,0,56,-1,4,13,15,23,9,8
"Saturday, March 23, 1946",1946,82,39,–77.0386,0,53,3,4,12,13,16,9,11
"Saturday, April 12, 1947",1947,102,39,–77.0386,0,45,5,0,4,14,14,7,8
"Sunday, March 28, 1948",1948,88,39,–77.0386,0,55,-2,3,9,13,5,8,16
"Tuesday, March 29, 1949",1949,88,39,–77.0386,0,50,6,7,8,13,17,12,12
"Sunday, April 9, 1950",1950,99,39,–77.0386,0,40,9,4,5,11,9,7,12
"Friday, April 6, 1951",1951,96,39,–77.0386,0,49,4,4,8,13,15,8,9
"Wednesday, April 9, 1952",1952,100,39,–77.0386,0,59,5,5,6,14,10,11,14
"Friday, March 27, 1953",1953,86,39,–77.0386,0,54,5,6,9,13,8,9,23
"Tuesday, April 6, 1954",1954,96,39,–77.0386,0,67,2,6,7,15,21,6,10
"Saturday, April 2, 1955",1955,92,39,–77.0386,0,41,2,3,8,15,15,6,10
"Friday, April 6, 1956",1956,97,39,–77.0386,0,87,1,5,6,12,15,5,8
"Monday, April 8, 1957",1957,98,39,–77.0386,0,58,1,5,8,15,8,8,6
"Friday, April 18, 1958",1958,108,39,–77.0386,0,51,1,0,5,14,19,12,14
"Monday, April 6, 1959",1959,96,39,–77.0386,0,59,2,4,7,15,24,5,9
"Thursday, April 14, 1960",1960,105,39,–77.0386,0,40,3,4,2,16,23,9,10
"Sunday, April 2, 1961",1961,92,39,–77.0386,0,41,-1,4,9,11,6,11,10
"Saturday, April 7, 1962",1962,97,39,–77.0386,0,63,1,1,7,14,14,8,10
"Wednesday, April 3, 1963",1963,93,39,–77.0386,0,59,0,-1,9,14,20,7,7
"Saturday, April 11, 1964",1964,102,39,–77.0386,0,45,2,3,9,12,13,9,8
"Thursday, April 15, 1965",1965,105,39,–77.0386,0,61,1,3,5,11,13,7,8
"Tuesday, April 5, 1966",1966,95,39,–77.0386,0,38,0,2,9,12,8,8,8
"Thursday, April 6, 1967",1967,96,39,–77.0386,0,67,5,1,7,14,20,7,9
"Saturday, March 30, 1968",1968,90,39,–77.0386,0,45,0,1,10,14,18,9,9
"Wednesday, April 9, 1969",1969,99,39,–77.0386,0,42,1,3,6,15,20,6,5
"Thursday, April 16, 1970",1970,106,39,–77.0386,0,57,-1,3,6,13,13,10,11
"Thursday, April 8, 1971",1971,98,39,–77.0386,0,43,0,4,6,13,16,11,11
"Tuesday, April 11, 1972",1972,102,39,–77.0386,0,75,4,3,8,12,14,9,11
"Wednesday, April 11, 1973",1973,101,39,–77.0386,0,46,3,3,11,13,5,9,11
"Wednesday, April 3, 1974",1974,93,39,–77.0386,0,61,6,4,10,15,16,10,11
"Thursday, April 3, 1975",1975,93,39,–77.0386,0,45,5,5,7,12,10,9,12
"Tuesday, March 23, 1976",1976,83,39,–77.0386,0,50,1,8,11,16,9,9,7
"Saturday, March 26, 1977",1977,85,39,–77.0386,0,34,-4,4,12,16,8,4,7
"Wednesday, April 12, 1978",1978,102,39,–77.0386,0,36,0,0,7,14,18,12,11
"Monday, April 2, 1979",1979,92,39,–77.0386,0,74,2,-2,11,13,7,16,8
"Sunday, April 6, 1980",1980,97,39,–77.0386,0,45,3,2,8,16,15,5,11
"Friday, April 3, 1981",1981,93,39,–77.0386,0,44,1,7,9,17,18,4,8
"Wednesday, April 7, 1982",1982,97,39,–77.0386,0,31,-2,4,8,12,4,8,11
"Thursday, April 7, 1983",1983,97,39,–77.0386,0,67,3,4,9,12,8,7,16
"Tuesday, April 3, 1984",1984,94,39,–77.0386,0,49,0,7,5,13,7,11,14
"Sunday, April 7, 1985",1985,97,39,–77.0386,0,43,-1,3,9,16,12,6,8
"Wednesday, April 2, 1986",1986,92,39,–77.0386,0,38,2,2,9,13,9,7,3
"Saturday, March 28, 1987",1987,87,39,–77.0386,0,51,2,3,9,13,10,12,6
"Thursday, March 31, 1988",1988,91,39,–77.0386,0,69,-1,3,8,12,15,8,9
"Wednesday, March 29, 1989",1989,88,39,–77.0386,0,60,4,3,8,13,23,7,16
"Thursday, March 15, 1990",1990,74,39,–77.0386,0,65,6,7,10,14,21,6,12
"Friday, March 29, 1991",1991,88,39,–77.0386,0,54,4,6,9,15,8,8,7
"Tuesday, April 7, 1992",1992,98,39,–77.0386,0,59,3,5,7,13,8,10,9
"Sunday, April 11, 1993",1993,101,39,–77.0386,0,52,4,1,6,13,12,8,14
"Tuesday, April 5, 1994",1994,95,39,–77.0386,0,73,-2,2,7,17,14,13,12
"Sunday, April 2, 1995",1995,92,39,–77.0386,0,51,4,1,10,14,7,7,8
"Thursday, April 4, 1996",1996,95,39,–77.0386,0,63,1,3,6,14,14,7,12
"Wednesday, March 26, 1997",1997,85,39,–77.0386,0,60,3,7,9,12,11,10,10
"Friday, March 27, 1998",1998,86,39,–77.0386,0,60,6,6,8,14,5,12,13
"Monday, April 5, 1999",1999,95,39,–77.0386,0,53,3,5,7,14,11,10,7
"Friday, March 17, 2000",2000,77,39,–77.0386,0,67,2,6,11,13,9,8,12
"Friday, April 6, 2001",2001,96,39,–77.0386,0,76,2,5,7,14,15,6,9
"Tuesday, April 2, 2002",2002,92,39,–77.0386,0,59,5,6,9,16,14,3,9
"Wednesday, April 2, 2003",2003,92,39,–77.0386,0,57,-1,1,8,13,17,14,14
"Wednesday, March 31, 2004",2004,91,39,–77.0386,0,67,-1,3,9,14,16,8,9
"Saturday, April 9, 2005",2005,99,39,–77.0386,0,58,2,4,6,14,14,8,13
"Thursday, March 30, 2006",2006,89,39,–77.0386,0,56,6,4,9,15,13,9,5
"Sunday, April 1, 2007",2007,91,39,–77.0386,0,63,5,-1,9,12,12,6,9
"Wednesday, March 26, 2008",2008,86,39,–77.0386,0,36,4,5,9,15,16,9,18
"Wednesday, April 1, 2009",2009,91,39,–77.0386,0,86,0,4,7,14,12,6,14
"Wednesday, March 31, 2010",2010,90,39,–77.0386,0,36,2,1,11,16,15,11,7
"Tuesday, March 29, 2011",2011,88,39,–77.0386,0,33,1,5,8,15,6,6,9
"Tuesday, March 20, 2012",2012,80,39,–77.0386,0,82,5,7,14,15,19,9,6
"Tuesday, April 9, 2013",2013,99,39,–77.0386,0,48,5,4,7,15,23,7,8
"Thursday, April 10, 2014",2014,100,39,–77.0386,0,42,0,3,6,14,16,12,16
"Friday, April 10, 2015",2015,100,39,–77.0386,0,83,2,-1,7,15,12,9,9
"Friday, March 25, 2016",2016,85,39,–77.0386,0,61,2,4,12,14,18,11,9
"Saturday, March 25, 2017",2017,84,39,–77.0386,0,60,6,9,8,18,18,6,11
"Thursday, April 5, 2018",2018,95,39,–77.0386,0,37,2,7,6,13,7,6,14
"Monday, April 1, 2019",2019,91,39,–77.0386,0,36,3,6,8,17,6,13,11
"Friday, March 20, 2020",2020,80,39,–77.0386,0,64,6,7,12,13,22,9,11
"Sunday, March 28, 2021",2021,87,39,–77.0386,0,78,4,3,11,15,15,12,10
4/11/1922,1922,101,35,136,44,74,1,7,6,13,74,119,104
4/7/1923,1923,97,35,136,44,75,2,4,8,12,75,44,189
4/20/1924,1924,111,35,136,44,75,3,4,4,14,75,30,116
4/18/1925,1925,108,35,136,44,73,2,2,5,11,73,39,121
4/18/1926,1926,108,35,136,44,69,2,4,5,11,69,59,150
4/17/1927,1927,107,35,136,44,70,3,2,6,12,70,37,130
4/16/1928,1928,107,35,136,44,72,4,3,6,13,72,96,99
4/13/1929,1929,103,35,136,44,72,2,2,6,12,72,16,88
4/5/1930,1930,95,35,136,44,73,3,5,8,14,73,69,102
4/15/1931,1931,105,35,136,44,71,3,3,7,12,71,83,133
4/14/1932,1932,105,35,136,44,74,5,3,6,11,74,24,116
4/16/1933,1933,106,35,136,44,75,3,3,5,13,75,39,162
4/14/1934,1934,104,35,136,44,72,1,3,6,11,72,32,88
4/12/1935,1935,102,35,136,44,70,3,4,7,12,70,64,78
4/20/1936,1936,111,35,136,44,72,1,1,5,12,72,48,177
4/10/1937,1937,100,35,136,44,72,4,6,7,13,72,67,107
4/8/1938,1938,98,35,136,44,71,2,2,9,13,71,48,118
4/14/1939,1939,104,35,136,44,70,2,3,7,13,70,46,98
4/19/1940,1940,110,35,136,44,73,2,3,6,12,73,55,79
4/10/1941,1941,100,35,136,44,69,5,4,8,12,69,65,155
4/6/1942,1942,96,35,136,44,65,3,3,10,12,65,34,121
4/11/1943,1943,101,35,136,44,66,2,3,6,11,66,42,98
4/9/1944,1944,100,35,136,44,72,3,3,6,11,72,39,105
4/7/1946,1946,97,35,136,44,73,3,3,6,13,73,49,191
4/17/1947,1947,107,35,136,44,64,4,1,5,12,64,52,115
4/11/1948,1948,102,35,136,44,72,4,4,6,14,72,40,108
4/17/1949,1949,107,35,136,44,70,5,6,6,10,70,71,127
4/9/1950,1950,99,35,136,44,70,5,4,7,14,70,113,163
4/8/1951,1951,98,35,136,44,71,4,5,7,13,71,63,130
4/14/1952,1952,105,35,136,44,71,4,3,7,13,71,78,180
4/11/1953,1953,101,35,136,44,62,3,4,9,12,62,65,144
4/8/1954,1954,98,35,136,44,67,5,5,8,15,67,81,141
4/7/1955,1955,97,35,136,44,68,3,6,9,14,68,82,164
4/8/1956,1956,99,35,136,44,65,4,3,8,13,65,47,202
4/13/1957,1957,103,35,136,44,64,4,4,5,14,64,56,115
4/9/1958,1958,99,35,136,44,68,4,5,8,14,68,81,110
4/2/1959,1959,92,35,136,44,66,3,8,9,14,66,124,141
4/4/1960,1960,95,35,136,44,65,4,5,9,12,65,34,139
4/9/1961,1961,99,35,136,44,63,3,3,8,14,63,45,143
4/12/1962,1962,102,35,136,44,64,3,5,7,13,64,35,118
4/11/1963,1963,101,35,136,44,69,1,2,7,14,69,46,194
4/8/1964,1964,99,35,136,44,73,6,3,7,17,73,81,130
4/20/1965,1965,110,35,136,44,65,3,4,6,11,65,48,165
4/7/1966,1966,97,35,136,44,67,3,6,9,14,67,59,175
4/7/1967,1967,97,35,136,44,70,3,4,8,14,70,57,172
4/8/1968,1968,99,35,136,44,62,3,2,8,14,62,54,102
4/11/1969,1969,101,35,136,44,64,5,5,7,14,64,78,105
4/17/1970,1970,107,35,136,44,62,4,5,5,13,62,60,126
4/8/1971,1971,98,35,136,44,57,4,5,7,14,57,51,150
4/8/1972,1972,99,35,136,44,64,7,6,9,14,64,86,133
4/7/1973,1973,97,35,136,44,64,6,7,8,16,64,103,146
4/9/1974,1974,99,35,136,44,63,3,4,7,14,63,55,137
4/10/1975,1975,100,35,136,44,67,4,4,7,14,67,46,106
4/8/1976,1976,99,35,136,44,64,4,7,8,14,64,82,169
4/3/1977,1977,93,35,136,44,62,3,3,9,15,62,24,126
4/14/1978,1978,104,35,136,44,58,5,4,8,13,58,20,75
4/7/1979,1979,97,35,136,44,62,6,8,8,13,62,79,146
4/11/1980,1980,102,35,136,44,63,4,4,7,13,63,53,192
4/9/1981,1981,99,35,136,44,62,2,4,8,14,62,37,168
4/3/1982,1982,93,35,136,44,59,4,4,9,13,59,25,112
4/9/1983,1983,99,35,136,44,67,5,5,8,16,67,44,169
4/18/1984,1984,109,35,136,44,60,2,2,5,13,60,58,72
4/9/1985,1985,99,35,136,44,60,3,6,9,15,60,64,158
4/12/1986,1986,102,35,136,44,61,3,3,8,14,61,22,169
4/5/1987,1987,95,35,136,44,56,5,5,8,14,56,57,105
4/15/1988,1988,106,35,136,44,58,6,4,7,14,58,31,130
4/3/1989,1989,93,35,136,44,60,7,7,8,15,60,152,134
3/29/1990,1990,88,35,136,44,62,4,8,9,14,62,95,136
4/7/1991,1991,97,35,136,44,61,5,4,9,15,61,54,150
4/3/1992,1992,94,35,136,44,61,6,5,10,14,61,38,160
4/7/1993,1993,97,35,136,44,61,6,6,8,13,61,81,87
4/9/1994,1994,99,35,136,44,56,5,5,7,16,56,65,91
4/9/1995,1995,99,35,136,44,62,5,5,9,14,62,32,181
4/12/1996,1996,103,35,136,44,54,5,4,8,12,54,38,103
4/7/1997,1997,97,35,136,44,62,5,5,9,14,13,35,120
4/1/1998,1998,91,35,136,44,68,5,7,10,17,9,88,164
4/4/1999,1999,94,35,136,44,61,5,5,10,14,13,49,127
4/6/2001,2001,96,35,136,44,55,4,5,9,15,10,97,88
4/1/2002,2002,91,35,136,44,59,6,6,10,16,15,44,120
4/8/2003,2003,98,35,136,44,64,4,6,7,15,16,81,139
4/1/2004,2004,92,35,136,44,52,4,6,9,15,16,36,155
4/9/2005,2005,99,35,136,44,51,5,5,8,15,16,47,71
4/8/2006,2006,98,35,136,44,58,4,6,8,13,16,70,139
4/7/2007,2007,97,35,136,44,54,6,7,9,14,12,47,85
4/4/2008,2008,95,35,136,44,58,5,4,10,14,14,54,167
4/5/2009,2009,95,35,136,44,53,5,7,9,15,13,109,103
4/5/2010,2010,95,35,136,44,59,5,7,9,13,16,87,187
4/9/2011,2011,99,35,136,44,60,3,6,7,13,15,45,194
4/10/2012,2012,101,35,136,44,62,4,4,8,14,17,73,102
4/3/2013,2013,93,35,136,44,58,4,5,10,13,14,69,71
4/4/2014,2014,94,35,136,44,53,4,5,9,14,12,46,103
4/3/2015,2015,93,35,136,44,64,5,6,9,16,18,82,150
4/4/2016,2016,95,35,136,44,61,6,6,10,16,16,88,132
4/9/2017,2017,99,35,136,44,61,5,5,8,15,15,51,84
3/30/2018,2018,89,35,136,44,59,4,4,11,16,14,33,168
4/5/2019,2019,95,35,136,44,59,5,7,10,14,15,33,87
4/1/2020,2020,92,35,136,44,56,8,7,11,13,15,60,109
3/26/2021,2021,85,35,136,44,64,5,8,12,15,5,55,191
4/18/1982,1982,108,47,8,350,84,2,4,7,8,10,0,0
4/11/1983,1983,101,47,8,350,69,2,4,6,12,12,0,0
4/19/1984,1984,110,47,8,350,71,1,4,8,11,9,0,0
4/16/1985,1985,106,47,8,350,79,2,3,8,12,10,0,0
5/1/1986,1986,121,47,8,350,81,2,4,8,10,9,0,0
4/22/1987,1987,112,47,8,350,77,1,3,6,11,12,0,0
4/17/1988,1988,108,47,8,350,64,2,4,6,11,13,0,0
3/28/1989,1989,87,47,8,350,75,2,3,8,10,9,0,0
3/16/1990,1990,75,47,8,350,75,2,3,7,12,13,0,0
4/4/1991,1991,94,47,8,350,75,1,4,7,11,9,0,0
4/11/1992,1992,102,47,8,350,57,2,4,6,11,9,0,0
4/11/1993,1993,101,47,8,350,56,2,3,7,10,11,0,0
3/23/1994,1994,82,47,8,350,71,2,4,7,8,11,0,0
4/3/1995,1995,93,47,8,350,79,2,4,7,10,10,0,0
4/18/1996,1996,109,47,8,350,59,-1,6,6,1,10,0,0
3/22/1997,1997,81,47,8,350,69,-2,7,7,9,10,0,0
3/31/1998,1998,90,47,8,350,71,3,5,8,11,10,0,0
4/4/1999,1999,94,47,8,350,81,1,2,7,8,9,0,0
4/1/2000,2000,92,47,8,350,81,-1,5,7,11,7,0,0
3/30/2001,2001,89,47,8,350,86,3,5,10,9,9,0,0
3/18/2002,2002,77,47,8,350,54,2,6,9,9,9,0,0
4/2/2003,2003,92,47,8,350,56,1,-1,11,12,5,0,0
4/1/2004,2004,92,47,8,350,64,2,2,6,10,8,0,0
4/5/2005,2005,95,47,8,350,77,2,1,4,12,8,0,0
4/21/2006,2006,111,47,8,350,64,-2,1,6,9,16,0,0
4/4/2007,2007,94,47,8,350,61,6,6,7,14,12,0,0
3/29/2008,2008,89,47,8,350,71,4,4,5,9,9,0,0
4/10/2009,2009,100,47,8,350,65,0,2,6,11,13,0,0
4/8/2010,2010,98,47,8,350,69,-1,4,6,11,10,0,0
3/31/2011,2011,90,47,8,350,43,2,4,7,13,12,0,0
4/2/2012,2012,93,47,8,350,64,4,-3,8,10,10,0,0
4/17/2013,2013,107,47,8,350,69,2,0,4,10,18,0,0
3/25/2014,2014,84,47,8,350,36,4,6,8,12,16,0,0
4/11/2015,2015,101,47,8,350,61,3,2,7,11,15,0,0
4/6/2016,2016,97,47,8,350,66,4,5,6,10,10,0,0
3/26/2017,2017,85,47,8,350,73,-2,5,9,10,11,0,0
4/8/2018,2018,98,47,8,350,75,6,0,5,14,12,0,0
3/27/2019,2019,86,47,8,350,69,2,5,8,10,10,0,0
3/17/2020,2020,77,47,8,350,69,4,8,7,13,13,0,0
3/28/2021,2021,87,47,8,350,65,2,5,7,8,8,0,0
